index,server_seq,client_seq,tx_ms,rx_ms,rtt_ms,applied_ms,delay_ms,master_x_m,master_y_m,master_z_m,slave_x_m,slave_y_m,slave_z_m
1,16386,199591,16475.481700,16476.482100,1.000400,16726.634800,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
2,16387,199592,16476.482100,16477.482700,1.000600,16727.637800,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
3,16388,199593,16477.482700,16478.482600,0.999900,16728.637600,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
4,16389,199594,16478.482600,16479.485900,1.003300,16729.637600,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
5,16390,199595,16479.485900,16480.486000,1.000100,16730.637700,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
6,16391,199596,16480.486000,16481.486200,1.000200,16731.637800,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
7,16392,199597,16481.486200,16482.486400,1.000200,16732.637900,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
8,16393,199598,16482.486400,16483.486400,1.000000,16733.638000,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
9,16394,199599,16483.486400,16484.486500,1.000100,16734.638100,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
10,16395,199600,16484.486500,16485.486600,1.000100,16735.638200,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
11,16396,199601,16485.486600,16486.486800,1.000200,16736.638300,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
12,16397,199602,16486.486800,16487.486800,1.000000,16737.638500,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
13,16398,199603,16487.486800,16488.487100,1.000300,16738.638500,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
14,16399,199604,16488.487100,16489.488000,1.000900,16739.638700,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
15,16400,199605,16489.488000,16490.488100,1.000100,16740.639200,250.000,-0.021830,0.018840,0.053525,-0.028825,0.020632,0.048189
