index,server_seq,client_seq,tx_ms,rx_ms,rtt_ms,applied_ms,delay_ms,master_x_m,master_y_m,master_z_m,slave_x_m,slave_y_m,slave_z_m
1,6455,189660,6515.188300,6516.188500,1.000200,6516.188500,0.000,-0.001130,0.044757,0.054487,-0.009258,0.036738,0.050705
2,6456,189661,6516.188500,6517.367100,1.178600,6517.367100,0.000,-0.001130,0.044757,0.054487,-0.009300,0.036824,0.050677
3,6457,189662,6517.367100,6518.367300,1.000200,6518.367300,0.000,-0.001148,0.044826,0.054487,-0.009342,0.036910,0.050649
4,6458,189663,6518.367300,6519.367100,0.999800,6519.367100,0.000,-0.001148,0.044826,0.054487,-0.009378,0.037052,0.050567
5,6459,189664,6519.367100,6520.367300,1.000200,6520.367300,0.000,-0.001122,0.044906,0.054459,-0.009420,0.037138,0.050539
6,6460,189665,6520.367300,6521.367300,1.000000,6521.367300,0.000,-0.001122,0.044906,0.054459,-0.009463,0.037224,0.050510
7,6461,189666,6521.367300,6522.377500,1.010200,6522.377500,0.000,-0.001155,0.044898,0.054416,-0.009478,0.037323,0.050443
8,6462,189667,6522.377500,6523.388300,1.010800,6523.388300,0.000,-0.001110,0.044910,0.054388,-0.009521,0.037408,0.050414
9,6463,189668,6523.388300,6524.388400,1.000100,6524.388400,0.000,-0.001128,0.044979,0.054388,-0.009563,0.037494,0.050386
10,6464,189669,6524.388400,6525.388600,1.000200,6525.388600,0.000,-0.001161,0.044970,0.054346,-0.009606,0.037579,0.050358
11,6465,189670,6525.388600,6526.388800,1.000200,6526.388800,0.000,-0.001161,0.044970,0.054346,-0.009622,0.037678,0.050290
12,6466,189671,6526.388800,6527.388900,1.000100,6527.388900,0.000,-0.001161,0.044970,0.054346,-0.009664,0.037763,0.050262
13,6467,189672,6527.388900,6528.389400,1.000500,6528.389400,0.000,-0.001116,0.044982,0.054318,-0.009707,0.037849,0.050234
14,6468,189673,6528.389400,6529.390100,1.000700,6529.390100,0.000,-0.001116,0.044982,0.054318,-0.009749,0.037934,0.050205
15,6469,189674,6529.390100,6530.390300,1.000200,6530.390300,0.000,-0.001167,0.045042,0.054275,-0.009771,0.037977,0.050191
16,6470,189675,6530.390300,6531.392300,1.002000,6531.392300,0.000,-0.001167,0.045042,0.054275,-0.009787,0.038075,0.050123
17,6471,189676,6531.392300,6532.392500,1.000200,6532.392500,0.000,-0.001122,0.045054,0.054247,-0.009830,0.038160,0.050095
18,6472,189677,6532.392500,6533.392500,1.000000,6533.392500,0.000,-0.001122,0.045054,0.054247,-0.009851,0.038203,0.050081
19,6473,189678,6533.392500,6534.392700,1.000200,6534.392700,0.000,-0.001122,0.045054,0.054247,-0.009894,0.038288,0.050053
20,6474,189679,6534.392700,6535.392700,1.000000,6535.392700,0.000,-0.001155,0.045045,0.054205,-0.009916,0.038330,0.050039
21,6475,189680,6535.392700,6536.392900,1.000200,6536.392900,0.000,-0.001155,0.045045,0.054205,-0.009937,0.038373,0.050024
22,6476,189681,6536.392900,6537.393200,1.000300,6537.393200,0.000,-0.001110,0.045057,0.054177,-0.009980,0.038458,0.049996
23,6477,189682,6537.393200,6538.394900,1.001700,6538.394900,0.000,-0.001110,0.045057,0.054177,-0.010001,0.038500,0.049982
24,6478,189683,6538.394900,6539.395300,1.000400,6539.395300,0.000,-0.001161,0.045117,0.054134,-0.010023,0.038543,0.049968
25,6479,189684,6539.395300,6540.395500,1.000200,6540.395500,0.000,-0.001161,0.045117,0.054134,-0.010044,0.038585,0.049954
26,6480,189685,6540.395500,6541.454900,1.059400,6541.454900,0.000,-0.001161,0.045117,0.054134,-0.010066,0.038628,0.049939
27,6481,189686,6541.454900,6542.455200,1.000300,6542.455200,0.000,-0.001116,0.045129,0.054106,-0.010088,0.038670,0.049925
28,6482,189687,6542.455200,6543.455500,1.000300,6543.455500,0.000,-0.001149,0.045120,0.054064,-0.010109,0.038712,0.049911
29,6483,189688,6543.455500,6544.455600,1.000100,6544.455600,0.000,-0.001149,0.045120,0.054064,-0.010131,0.038755,0.049897
30,6484,189689,6544.455600,6545.494900,1.039300,6545.494900,0.000,-0.001149,0.045120,0.054064,-0.010152,0.038797,0.049883
31,6485,189690,6545.494900,6546.495800,1.000900,6546.495800,0.000,-0.001182,0.045112,0.054021,-0.010174,0.038839,0.049869
32,6486,189691,6546.495800,6547.496900,1.001100,6547.496900,0.000,-0.001182,0.045112,0.054021,-0.010195,0.038882,0.049855
