index,tx_timestamp_ms,rx_timestamp_ms,delay_ms,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z
64,40547.3,41390.4,843.088,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
65,40548.3,41517.5,969.261,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
66,40549.3,41406.4,857.09,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
67,40550.3,41468.5,918.244,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
68,40551.3,41408.4,857.091,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
69,40552.3,41389.4,837.086,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
70,40553.3,41505.5,952.258,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
71,40554.3,41605.1,1050.75,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
72,40555.3,41582.1,1026.74,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
73,40556.3,41583.1,1026.74,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
74,40557.3,41393.4,836.06,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
75,40558.3,41466.5,908.215,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
76,40559.3,41412.4,853.063,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
77,40560.3,41486.5,926.222,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
78,40561.3,41460.5,899.214,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
79,40562.3,41566,1003.71,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
80,40563.3,41534.5,971.236,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
81,40564.3,41591.1,1026.74,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
82,40565.3,41404.4,839.062,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
83,40566.3,41615.2,1048.91,0.0213419,0.0156355,0.028228,0.0214132,0.014999,0.0320785
